Feature ID	Taxon	Confidence
0041d6695149a9326bf1e8f365f9133f	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Incertae_Sedis;s__	0.990392120031985
0041fcb65ffb8a0a49cf72a4309d24d0	d__Bacteria;p__Margulisbacteria;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.9172434057924786
0042cdbfb0909cd4764e8b49f8931622	d__Archaea	0.9665355016705776
00434c9e55232fe4b5f68b08a4ec1b0d	d__Bacteria;p__Planctomycetota	0.9946936282794206
0043bc87b6e239600e8d83e481d92a3e	d__Bacteria	0.7982910746197956
0043e7e41d556d4bcfdf37c6896ffef7	d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__	0.9971538594015997
00449a0d8ad4f63c3940661be0b7dbec	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.8392600983849151
0044b4cd6ae7cf09d6619b8d99f3c0ba	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Incertae_Sedis;s__	0.9577223930412349
00458ddc2b67e70a5d49797cad0e0be0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	0.9648679613298087
0045b36ff965228ddcaab4dfb720240d	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42;s__	0.9797111035580559
0046b0ec4da8674b3543572413a90d98	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.8514589732986259
00474a53c37df978492595f652f45738	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Rubinisphaeraceae;g__SH-PL14;s__	0.9988707812452673
0047ba129f3445dc3903a000a39940f5	d__Bacteria;p__Planctomycetota;c__Planctomycetes	0.962561791626467
00494ba38cd7809a824089cf7225280f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Thalassobaculum;s__	0.9238135517307823
0049a1b9f851fcf7f5e35edcd8ab5adc	d__Bacteria	0.8371852751355902
004a959a5a8a30e0f7430ee0fcd48259	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group;s__	0.9162736323547583
004b7dac1919e8c687f95909d398ad38	d__Bacteria;p__Bacillota;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Acholeplasma;s__	0.99618135290744
