Location,Subcommunity,TaxRank,Site1,Site2,Bray,Geo_km,Env_distance,Salinity_difference
Biloxi Bay,Rare,ASV,BIL_ST7,BIL_ST5,0.6081379892723593,6.357932819440825,1.4455313205428908,1.950000000000001
Biloxi Bay,Rare,ASV,BIL_ST8,BIL_ST5,0.6149259577354089,10.149287020235441,1.774994858676821,3.299999999999999
Biloxi Bay,Rare,ASV,BIL_ST9,BIL_ST5,0.6457922974732897,10.834132111193693,1.7536697751043786,3.24
Biloxi Bay,Rare,ASV,BIL_ST7,BIL_ST6,0.6117353397331506,3.0982937176586067,2.0431769336576417,1.3200000000000003
Biloxi Bay,Rare,ASV,BIL_ST8,BIL_ST6,0.645523353491337,6.8745306469883785,2.083756514099894,2.669999999999998
Biloxi Bay,Rare,ASV,BIL_ST9,BIL_ST6,0.6589373014202781,7.576026675275992,2.0191635344139076,2.6099999999999994
Biloxi Bay,Rare,ASV,BIL_ST8,BIL_ST7,0.5787210405816747,3.8843483136620143,0.6367399576389234,1.3499999999999979
Biloxi Bay,Rare,ASV,BIL_ST9,BIL_ST7,0.6050465860284945,4.675918759007039,0.7182341439438349,1.2899999999999991
Biloxi Bay,Rare,ASV,BIL_ST9,BIL_ST8,0.6084461121618684,0.9148611791020995,0.18549897319492195,0.05999999999999872
Biloxi Bay,Total,ASV,BIL_ST2,BIL_ST1,0.5271444522175905,2.4523137072883165,1.6817447108223464,3.7799999999999994
Biloxi Bay,Total,ASV,BIL_ST3,BIL_ST1,0.6917021025160932,4.924946146929427,2.5942982435868673,5.83
Biloxi Bay,Total,ASV,BIL_ST4,BIL_ST1,0.7795226257832764,7.625200369705529,3.6935592733697735,7.66
Biloxi Bay,Total,ASV,BIL_ST5,BIL_ST1,0.798805432512987,7.534061042212609,4.95639756222932,9.43
Biloxi Bay,Total,ASV,BIL_ST6,BIL_ST1,0.8241115593128279,5.2264436749659975,5.78898440570614,10.06
Biloxi Bay,Total,ASV,BIL_ST7,BIL_ST1,0.8161477365350577,3.923759708918449,5.649225460967177,11.38
Biloxi Bay,Total,ASV,BIL_ST8,BIL_ST1,0.8310447619429624,6.188202358264256,6.257474076514995,12.729999999999999
Biloxi Bay,Total,ASV,BIL_ST9,BIL_ST1,0.8363304545350799,7.100625844543973,6.288378639533549,12.67
Biloxi Bay,Total,ASV,BIL_ST3,BIL_ST2,0.4551122057446546,2.479889432091768,1.3787288054462645,2.0500000000000007
Biloxi Bay,Total,ASV,BIL_ST4,BIL_ST2,0.5528670464717486,5.204038889001725,2.666348315601008,3.880000000000001
Biloxi Bay,Total,ASV,BIL_ST5,BIL_ST2,0.5790172891552985,5.462992234982792,4.029984418192875,5.65
Biloxi Bay,Total,ASV,BIL_ST6,BIL_ST2,0.6181385431262175,4.036473947450512,4.984113562340889,6.280000000000001
Biloxi Bay,Total,ASV,BIL_ST7,BIL_ST2,0.6018563861792212,4.423717400868642,4.5278216049220275,7.600000000000001
Biloxi Bay,Total,ASV,BIL_ST8,BIL_ST2,0.622764608667781,7.767330268341288,5.127153303572157,8.95
Biloxi Bay,Total,ASV,BIL_ST9,BIL_ST2,0.6303752504149421,8.666945462177791,5.191194134279291,8.89
Biloxi Bay,Total,ASV,BIL_ST4,BIL_ST3,0.4356995602726829,2.741172629156298,1.4234826202275745,1.83
Biloxi Bay,Total,ASV,BIL_ST5,BIL_ST3,0.45123102362415335,3.625447301749581,2.8877294668081293,3.5999999999999996
